Suggested General Category,Suggested Var Name,Suggested Description,Units,Attribute 1 (standard for subset of measurements),Attribute 2 (standard),Attribute 3,Attribute 4,Attribute 5,Attribute 6,Final attribute
Carbon,13C,13C natural abundance in soil,per mille,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for C fraction (whole soil, organic fraction, inorganic fraction)",,,,"Method reference, if known (fillable field)"
Carbon,13C_dissolved,13C natural abundance of dissolved C,per mille,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for sample type (soil water extract, surface water, pore water, groundwater, leachate)",,,,"Method reference, if known (fillable field)"
Carbon,14C,Radioactive 14C isotope activity,per mille,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for C fraction (whole soil, organic fraction)","pMC (percent modern carbon) is the 14C activity in the sample normalized to δ13C =- 25%, divided by the absolute 14C activity in the international isotopic standard (NBS oxalic acid)",,,"Method reference, if known (fillable field)"
Carbon,Dissolved_C,Dissolved carbon in naturally-occuring soil water,mg C/L,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down for Natural sample type (surface water, pore water, groundwater, leachate)",,,,"Method reference, if known (fillable field)"
Carbon,Extractable_C,Carbon in soil extract,mg C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Filter size (none, 0.45 μm, other)","Pull down for Soil Extractant (Cold H2O, Hot H2O, CaCl2, H3A, other (specify))","Define C fraction: Total, organic, inorganic",,"Method reference, if known (fillable field)"
Carbon,Humic substances,Carbon in soluble/insoluble SOM fractions following acid and alkaline extractions,g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for Fraction measured (humic acid, fulvic acid, humin)",,,,"Method reference, if known (fillable field)"
Carbon,Large_POM_C,Carbon in organic material > 2 mm,g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",,,,,"Method reference, if known (fillable field)"
Carbon,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,Representative of field conditions OR Potential measurement,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for Length of incubation (1 d, 3 d, 30 d, other (specify))",,,,"Method reference, if known (fillable field)"
Carbon,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for methods (Density separation, other)",,,,"Method reference, if known (fillable field)"
Carbon,POM_C,Carbon in soil fraction between 0.053 and 2 mm,g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for fraction measured (total POM, free light fraction, fine intraggregate POM, coarse intraggregate POM)",,,,"Method reference, if known (fillable field)"
Carbon,Total_inorganic_C,Soil concentration of total inorganic carbon,mg C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",(Pull down menu for methods,,,,"Method reference, if known (fillable field)"
Carbon,Total_organic_C,Soil concentration of total organic carbon,g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for methods (dry combustion, wet combustion)",,,,"Method reference, if known (fillable field)"
Carbon,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pull down menu for methods (dry combustion, wet combustion)",,,,"Method reference, if known (fillable field)"
Nitrogen,15N_NA,"15N isotope concentration, natural abundance",per mille,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No",Pulldown: Total soil N or extract,Natural abundance or enriched with tracer,,,"Method reference, if known (fillable field)"
Nitrogen,ACE_protein,Autoclaved citrate extractable soil protein; glomalin,g protein/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Methods: Autoclaved citrate extraction, other",,,,"Method reference, if known (fillable field)"
Nitrogen,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,"Soil sample? If yes then select sample handling (Field moist soil, Dried sample, Frozen sample) If ""Dried"" then ask ""Ground?"", Yes or No","Pulldown for extractant (water, 1M KCl, 2M KCl, 0.01M CaCl2, H3A, sodium acetate, other)",,,,"Method reference, if known (fillable field)"
