LTARSiteCode,SiteVariableName,SiteVariableDescription,Units,ControlledVariable,ControlledDescription,ControlledUnits,Comments,TemporalResolution,StartDate,EndDate,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,AgCROS.Table,AgCROS.VarName
ABS-UF,AMF/DSE colonization,"arbuscular mycorrhizal fungi, dark septate endophytes, RCREC",%,AMF_abundance,Arbuscular mycorrhizal fungi root colonization,% root colonized,,Irregular,2017,2018,,excel files,,,3,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",fungus
ABS-UF,C13,RCREC,%,13C,13C natural abundance in soil,per mille,,Once in 2 years,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",C13
ABS-UF,CFI Bio-C,carbon farming initiative,ug/g soil,,,,"unclear what this is, can delete row",yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Organic soil carbon, soil, mean or single measurement"
ABS-UF,CO2 emission,"NIFA, baseline",umol/s,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,"for Soils WG: samples collected in field, maybe add new variable? There's no CO2 respiration variable that accounts for plant respiration too  ",Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",microbial respiration
ABS-UF,CO2-C,carbon dioxide carbon,ug/g soil; mg/g soil,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,"for Soils WG: samples collected in field, maybe add new variable? There's no CO2 respiration variable that accounts for plant respiration too  ",Yearly,2000,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",microbial respiration
ABS-UF,CO2-C,"carbon dioxide carbon, fire plot",ug/g soil; mg/g soil,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,"for Soils WG: samples collected in field, maybe add new variable? There's no CO2 respiration variable that accounts for plant respiration too  ",Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",microbial respiration
ABS-UF,Cmin,fire plot,ug/g soil,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,Yearly,2003,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,Cmin,fire plot,ug/g soil,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,Cum. Cmin,,ug/g soil,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,DAP,"diammonium phosphate, fire plot",g/m2; ug/g soil,PO4_extractable,Phosphate in soil extract,mg P/kg,"for Soils WG: this was Mehlich-1 extractable P, is this the closest match?",Yearly,2003,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, soil"
ABS-UF,DAP,"diammonium phosphate, fire plot",g/m2; ug/g soil,PO4_extractable,Phosphate in soil extract,mg P/kg,"for Soils WG: this was Mehlich-1 extractable P, is this the closest match?",Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, soil"
ABS-UF,Fe,"NIFA, baseline",kg/ha,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Iron, soil"
ABS-UF,K,"NIFA, baseline",kg/ha,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Potassium, soil"
ABS-UF,KCl extractable NH4,"ammonium, RCREC",mg/kg,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ammonium nitrogen, soil"
ABS-UF,KCl extractable NO3,"nitrate, RCREC",mg/kg,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,MBN,"microbial nitrogen, fire plot",ug/g soil,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,,Yearly,1999,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","nitrogen, organic, soil"
ABS-UF,MBN,"microbial nitrogen, fire plot",ug/g soil,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","nitrogen, organic, soil"
ABS-UF,Mehlich 3 extractable Al,RCREC,mg/kg,Al_extractable,Soil concentration of extractable Aluminum,mg Al/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Aluminum, soil"
ABS-UF,Mehlich 3 extractable Ca,RCREC,mg/kg,Ca_extractable,Soil concentration of extractable Calcium,mg Ca/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Calcium, soil"
ABS-UF,Mehlich 3 extractable Fe,RCREC,mg/kg,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Iron, soil"
ABS-UF,Mehlich 3 extractable K,RCREC,mg/kg,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Potassium, soil"
ABS-UF,Mehlich 3 extractable K,"RCREC, ashes, post fire",mg/kg,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,Once,2019,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Potassium, soil"
ABS-UF,Mehlich 3 extractable Mg,RCREC,mg/kg,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Magnesium, soil"
ABS-UF,Mehlich 3 extractable P,RCREC,mg/kg,PO4_extractable,Phosphate in soil extract,mg P/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,Mg,"NIFA, baseline",kg/ha,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Magnesium, soil"
ABS-UF,N-min,fire plot,ug/g soil,Mineralizable N,Accumulation of soil nitrate and ammonium,mg N/kg,this should be 'Mineralizable_N' ?,Yearly,1999,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Potentially Mineralizable N
ABS-UF,N-min,fire plot,ug/g soil,Mineralizable N,Accumulation of soil nitrate and ammonium,mg N/kg,this should be 'Mineralizable_N' ?,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Potentially Mineralizable N
ABS-UF,NH4-N,ammonium nitrogen,ug/g soil,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ammonium nitrogen, soil"
ABS-UF,NH4-N,"ammonium nitrogen, pastures, wetlands",ug/g soil,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ammonium nitrogen, soil"
