LTARSiteCode,SiteVariableName,SiteVariableDescription,Units,ControlledVariable,ControlledDescription,ControlledUnits,Comments,TemporalResolution,StartDate,EndDate,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,AgCROS.Table,AgCROS.VarName
ABS-UF,total detrital weight,wetlands,g/m2,No controlled name,-,-,SA: should we delete this?; WO - do we consider it similar to residue and ask crops WG to handle it?,Once in 2 years,2007,2009,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ground cover, vegetated, none, mean or single measurement, fraction of land area"
ABS-UF,avg detrital depth,wetlands,cm,No controlled name,-,-,"SA: should we delete this?; WO - do we consider it similar to residue and ask crops WG to handle it?  VLJ - still qualifies as the O horizon in soils, so i think it still belongs here - maybe ""O_horizon_depth""?",Once in 2 years,2007,2009,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ground cover, vegetated, none, mean or single measurement, fraction of land area"
ABS-UF,soils list,soil survey,categorical,No controlled name,-,-,WO - no category,Once,2010,2010,,".doc file, shapefiles",,,1,subsite,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil classification
ABS-UF,C13,RCREC,%,13C,13C natural abundance in soil,per mille,,Once in 2 years,2017,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",C13
ABS-UF,aggregate classes,RCREC,"categorical, %",Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,Irregular,2017,2018,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil classification
ABS-UF,Dry_Aggregation,"RCREC,Abundance of dry soil aggregate by size class (dry sieve)",g/kg,Dry_Aggregation,Abundance of dry soil aggregate by size class (dry sieve),g/kg,,,,,,,,,,,,
ABS-UF,microbial diversity,"microbial enzymes, microbial RNA, microbial DNA, pre fire, post fire, RCREC",categorical,Microbial_genes,Abundance of specific microbial genes,number of reads/g,,Once,2019,2019,,excel files,,,16,pastures,,soil microbial diversity
ABS-UF,aggregate stability/distribution,"soil classification, RCREC",g/kg,Water_Stable_Aggregation,Abundance of water-stable soil aggregates by size class (wet sieve),g/kg,edited by WO - water stable or another aggregate stability approach? VLJ - could call it either WSA or macroaggregation - i think NRCS calls it macroaggregation for what is essentially a slaking test.,Irregular,2009,2012,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Micro or Macroaggregation
ABS-UF,N-min,fire plot,ug/g soil,Mineralizable N,Accumulation of both soil nitrate and ammonium,mg N/kg,this should be 'Mineralizable_N' ?,Yearly,1999,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Potentially Mineralizable N
ABS-UF,KCl extractable NH4,"ammonium, RCREC",mg/kg,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Ammonium nitrogen, soil"
ABS-UF,Ammonium_NH4_extractable,"RCREC, Soil concentration of extractable ammonium",mg/kg,Ammonium_NH4_extractable,Ammonium in soil extract,mg N/kg,,,,,,,,,,,,
ABS-UF,AMF/DSE colonization,"arbuscular mycorrhizal fungi, dark septate endophytes, RCREC",%,AMF_abundance,Arbuscular mycorrhizal fungi root colonization,% root colonized,,Irregular,2017,2018,,excel files,,,3,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",fungus
ABS-UF,Cmin,fire plot,ug/g soil,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,Yearly,2003,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,Mineral_associated_OM_C,"RCREC, Carbon associated with the mineral fraction (<0.53 μm)","g C/kg, kg ha-1",Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,,,,,,,,,,,
ABS-UF,labile C,RCREC,g/kg,Extractable_C,Carbon in soil extract,mg C/kg,"Not sure what the equivalent is; edited by WO - assume this is some sort of extraction but could be POX?  VLJ - agreed, needs clarification (could also be just water extractable C, mineralizable C, etc); site comment ""Light C, POM_C = ""Carbon in soil fraction between 0.053 and 2 mm"" -size/density separation, hydrolyzable C""",Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Mineral associated carbon, soil, mean or single measurement"
ABS-UF,POM_C,"RCREC, particulate organic matter, Carbon in soil fraction between 0.053 and 2 mm","g C/kg, kg ha-1",POM_C,Carbon in soil fraction between 0.053 and 2 mm,g C/kg,,,,,,,,,,,,
ABS-UF,cation exchange capacity,"NIFA, baseline",cmol(+)/kg,CEC,Cation Exchange capacity,cmol/kg,,Once,2016,2016,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Cation exchange capacity, soil"
ABS-UF,denitrification,denitrification rate,g/ha/day N,Denitrification_rate,Denitrification rate,mg N/kg*hr,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",Nitrogen
ABS-UF,WSP/WEP,"water soluble phosphate, water extractable phosphate, RCREC",g/m2,PO4_dissolved,Dissolved phosphate in naturally-occuring soil water,mg P/L,,Once,2003,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, water"
ABS-UF,moisture,fire plot,%,Soil_Moisture_grav,Gravimetric soil moisture content,% (g water/g dry soil*100),,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil moisture
ABS-UF,PLFA,"soil phospholipid fatty acid, NIFA, RCREC",nmol/g soil,Lipid_biomarkers,"Lipid biomakers including phospholipid fatty acids and fatty acid methyl esters, were they measured",-,edited by WO,Irregular,2017,Present,,excel files,,,32,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",PLFA
ABS-UF,CFI Bio-C,carbon farming initiative,ug/g soil,Microbial_biomass_C,Microbial biomass carbon,mg C/kg,"unclear what this is, can delete row; edited by WO; VLJ- Could retain as Microbial_Biomass_C as shown in column E",yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Organic soil carbon, soil, mean or single measurement"
ABS-UF,MBN,"microbial nitrogen, fire plot",ug/g soil,Microbial_biomass_N,Microbial biomass nitrogen,mg N/kg,,Yearly,1999,2006,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","nitrogen, organic, soil"
ABS-UF,pH,RCREC,pH,pH,Negative logarithm of the hydrogen ion concentration,no reported units,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",soil pH
ABS-UF,KCl extractable NO3,"nitrate, RCREC",mg/kg,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,NO3-N,nitrate nitrogen,ug/g soil,Nitrate_NO3_extractable,Nitrate in soil extract,mg N/kg,,yearly,1999,2003,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrate nitrogen, soil"
ABS-UF,bulk density,RCREC,g/cm3,Bulk_Density,Oven-dried soil mass per volume,g/cm3,,Irregular,2009,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Bulk density, soil"
ABS-UF,pH_buffer,"RCREC, pH after addition of buffer solution",na,pH_buffer,pH after addition of buffer solution,no reported units,,,,,,,,,,,,
ABS-UF,Mehlich 1 P,"BIRMehlich 1 P, PO4, fire plots",g/m2; ug/g soil,PO4_extractable,Phosphate in soil extract,mg P/kg,,Once,2011,2011,,excel files,,,12,plots,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphate, soil"
ABS-UF,Mehlich 3 extractable P,RCREC,mg/kg,PO4_extractable,Phosphate in soil extract,mg P/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Phosphorus, soil"
ABS-UF,nitrification,nitrification rate,g/ha/day N,Nitrification_rate,Rate of nitrate production,mg N/kg*hr,,Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Nitrous oxide, air, daily, mean or single measurement"
ABS-UF,Mehlich 3 extractable Al,RCREC,mg/kg,Al_extractable,Soil concentration of extractable Aluminum,mg Al/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Aluminum, soil"
ABS-UF,Mehlich 3 extractable Ca,RCREC,mg/kg,Ca_extractable,Soil concentration of extractable Calcium,mg Ca/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Calcium, soil"
ABS-UF,Mehlich 3 extractable Fe,RCREC,mg/kg,Fe_extractable,Soil concentration of extractable Iron,mg Fe/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Iron, soil"
ABS-UF,Mehlich 3 extractable Mg,RCREC,mg/kg,Mg_extractable,Soil concentration of extractable Magnesium,mg Mg/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Magnesium, soil"
ABS-UF,Mehlich 3 extractable K,"RCREC, ashes, post fire",mg/kg,K_extractable,Soil concentration of extractable Potassium,mg K/kg,"WO- are ""ashes"" part of soil or detritus?  VLJ - good question; this is probably a unique measurement; starts to get into what is biochar, too.  Would count it as part of the soil (think terra preta)",Once,2019,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Potassium, soil"
ABS-UF,Mehlich 3 extractable K,RCREC,mg/kg,K_extractable,Soil concentration of extractable Potassium,mg K/kg,,Irregular,2007,Present,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol","Potassium, soil"
ABS-UF,Soil conductivity,,dS/m,Electrical_conductivity,Soil electrical conductivity,decisiemens/m,,30 min,2016,Present,,.dat files,,,5,EC towers,"AmeriFlux, MeasGHGFlux","Soil electrical conductivity, soil"
ABS-UF,OM,"pastures, wetlands, organic matter",%,Soil_organic_matter,"Soil organic matter concentration, directly measured",g SOM/kg,"VLJ - Or is this OM by LOI?  If so, it would be Soil_Organic_Matter; confirmed is it SOM by LOI",Irregular,2000,2001,,excel files,,,16,pastures,"MeasSoilCover, MeasSoilChem, MeasSoilPhys, MeasSoilBiol",%OC
