GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute1Notes,Attribute2,Attribute2Notes,Attribute3,Attribute3Notes,Attribute4,Attribute4Notes,Attribute5,Attribute5Notes,Attribute6,Attribute6Notes,Attribute7,Attribute7Notes
Carbon,13C,13C natural abundance in soil,per mille,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|C fraction|[""Whole soil"",""Organic fraction"",""Inorganic fraction""]",,,,,,,,"Input|Method reference, if known",
Carbon,13C_dissolved,13C natural abundance of dissolved C,per mille,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Sample type|[""Soil water extract"",""Surface water"",""Pore water"",""Groundwater"",""Leachate""]",,,,,,,,"Input|Method reference, if known",
Carbon,14C,Radioactive 14C isotope activity,per mille,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|C fraction|[""Whole soil"",""Organic fraction""]",,,,,,,,"Input|Method reference, if known",
Carbon,Dissolved_C,Dissolved carbon in naturally-occuring soil water,mg C/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Natural sample type|[""Surface water"",""Pore water"",""Groundwater"",""Leachate""]",,,,,,,,"Input|Method reference, if known",
Carbon,Extractable_C,Carbon in soil extract,mg C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Filter size|[""None"",""0.45 μm"",""Other""]",,"Select|Soil Extractant|[""Cold H2O"",""Hot H2O"",""CaCl2"",""H3A"",""Other (specify)""]",,"Select|Define C fraction|[""Total"",""Organic"",""Inorganic""]",,,,"Input|Method reference, if known",
Carbon,Humic substances,Carbon in soluble/insoluble SOM fractions following acid and alkaline extractions,g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Fraction measured|[""Humic acid"",""Fulvic acid"",""Humin""]",,,,,,,,"Input|Method reference, if known",
Carbon,Large_POM_C,Carbon in organic material > 2 mm,g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,,,,,,"Input|Method reference, if known",
Carbon,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,"Select|Sample representation|[""Field conditions"",""Potential measurement""]",,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Length of incubation|[""1 d"",""3 d"",""30 d"",""other (specify)""]",,,,,,,,"Input|Method reference, if known",
Carbon,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Density separation"",""Other""]",,,,,,,,"Input|Method reference, if known",
Carbon,POM_C,Carbon in soil fraction between 0.053 and 2 mm,g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Fraction measured|[""Total POM"",""Free light fraction"",""Fine intraggregate POM"",""Coarse intraggregate POM""]",,,,,,,,"Input|Method reference, if known",
Carbon,Total_inorganic_C,Soil concentration of total inorganic carbon,mg C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,Input|Please specify methods,,,,,,,,"Input|Method reference, if known",
Carbon,Total_organic_C,Soil concentration of total organic carbon,g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Dry compustion"",""Wet combustion""]",,,,,,,,"Input|Method reference, if known",
Carbon,Total_Soil_C,Total of all forms of carbon in the soil (organic and inorganic C),g C/kg,,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,"Select|Methods|[""Dry compustion"",""Wet combustion""]",,,,,,,,"Input|Method reference, if known",
