GeneralCategory,ControlledVariable,ControlledDescription,Units,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7
Carbon,13C,13C natural abundance in soil,per mille,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|C fraction|[""Whole soil"",""Organic fraction"",""Inorganic fraction""]",,,,"Input|Method reference, if known"
Carbon,13C_dissolved,13C natural abundance of dissolved C,per mille,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]",,,,,"Input|Method reference, if known"
Carbon,14C,Radioactive 14C isotope activity,per mille,,"Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Measured?|[""Yes"",""No""]",,,,"Input|Method reference, if known"
Carbon,Dissolved_C,Dissolved carbon in naturally-occuring soil water,mg C/L,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Extractable_C,Carbon in soil extract,mg C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Humic substances,Carbon in soluble/insoluble SOM fractions following acid and alkaline extractions,g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Large_POM_C,Carbon in organic material > 2 mm,g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Microbial_Respiration_C,Carbon in CO2 evolution under controlled laboratory conditions,mg C/kg/d,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Mineral_associated_OM_C,Carbon associated with the mineral fraction (<0.53 μm),g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,POM_C,Carbon in soil fraction between 0.053 and 2 mm,g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Total_inorganic_C,Soil concentration of total inorganic carbon,mg C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
Carbon,Total_organic_C,Soil concentration of total organic carbon,g C/kg,"Select|Sample representation|[""Field conditions"",""Potential measurement""]","Select|Sample handling|[""Field moist soil"",""Dried sample; ground"", ""Dried sample; non-ground"",""Frozen sample"",""N/A""]","Select|Method|[""Decanting"",""Elutriator"",""Centrifugal floation"",""other""]","Select|Functional group|[""Total"",""Bacterivorous"",""Fingivorous"",""Omnivorous"",""Predaceous"",""Specific species""]",,,"Input|Method reference, if known"
